Type,Number,Name,Draco Description,VisDecode Description,Example
Hard,12,size_negative,Do not use size when data is negative as size implies that data is positive.,Don't use size encoding when data is negative as size implies that data is positive.,[12] size_negative.png
Hard,24,line_area_with_discrete,Line and area cannot have both x and y discrete.,Don't make a line/area plot when both x and y are discrete,[24] line_area_with_discrete.png
Hard,25,bar_tick_continuous_x_y,Bar and tick cannot have both x and y continuous.,Don't make a bar/tick plot when both x and y are continuos,[25] bar_tick_continuous_x_y.png
Hard,27,shape_without_point,Shape channel requires point mark.,Use the shape encoding only with the point mark,[27] shape_without_point.png
Hard,30,area_bar_with_log,Do not use log for bar or area mark as they are often misleading. We may remove this rule in the future.,Don't use the log scale for bar/area,[30] area_bar_with_log.png
Hard,31,rect_without_d_d,Rect mark needs discrete x and y.,Use rect mark only when x and y are discrete,[31] rect_without_d_d.png
Hard,32,same_field_x_and_y,Don't use the same field on x and y.,Don't use the same filed for the encoding x and y,[32] same_field_x_and_y.png
Hard,36,bar_tick_area_line_without_continuous_x_y,"Bar, tick, line, area require some continuous variable on x or y.","The marks bar, tick, line, and area require that either x or y is continuos",[36] bar_tick_area_line_without_continuous_x_y.png
Hard,40,row_no_y,"For charts in a row, use a share y-axis","For charts in a row, use a share y-axis",[40] row_no_y.png
Hard,41,col_no_x,"For charts in a column, use a share x-axis","For charts in a column, use a share x-axis",[41] col_no_x.png
Hard,46,no_stack_with_bar_area_discrete_color,"Need to stack if we use bar, area with discrete color.","Need to stack if we use bar, area with discrete color.",[46] no_stack_with_bar_area_discrete_color.png
Hard,47,stack_without_discrete_color_or_detail,"Can only use stack if we also use discrete color, or detail.","If stack is used, color should also be used to identificate the stack elements.",[47] stack_without_discrete_color_or_detail.png
Hard,49,stack_discrete,Stack can only be on continuous.,Stack can only be on continuous.,[49] stack_discrete.png
Soft,5,encoding_field,Prefer to use fewer encodings with fields (count does not have a field).,Use the lowest quantity of encodings possible,[5] encoding_field.png
Soft,6,same_field,Prefer not to use the same field twice on two different encodings,Don't encode the same field in two distinct ways,[6] same_field.png
Soft,7,same_field_grt3,Prefer not to use the same field twice on three or more different encodings,Don't encode the same field in three or more distinct ways,[7] same_field_grt3.png
Soft,9,number_categorical,Should not use categorical scale for number field.,Don't use categorical scale for number field.,[9] number_categorical.png
Soft,12,only_discrete,Only discrete encoding channels are used in a mark.,Don't use only discrete encodings; a continuous one would help.,[12] only_discrete.png
Soft,13,multi_non_pos,Prefer not to use multiple non-positional encoding channels.,Don't use multiple non-positional encodings (like size and color),[13] multi_non_pos.png
Soft,14,non_pos_used_before_pos,Prefer not to use non-positional channels until all positional channels are used.,Use the non-positional encodings only if the positional encodings are already used,[14] non_pos_used_before_pos.png
Soft,23,only_y,Prefer to use only x instead of only y.,Prefer to use only x instead of only y.,[23] only_y.png
Soft,25,high_cardinality_ordinal,Don't use ordinal for fields with high cardinality.,Don't use ordinal scale for fields with high cardinality.,[25] high_cardinality_ordinal.png
Soft,26,high_cardinality_categorical_grt10,Prefer not to use categorical (color) for fields with high cardinality.,Don't use color encoding for field with high cardinality,[26] high_cardinality_categorical_grt10.png
Soft,27,high_cardinality_shape,Prefer not to use high cardinality ordinal for shape.,Don't use shape encoding for field with high cardinality,[27] high_cardinality_shape.png
Soft,28,high_cardinality_size,Prefer not to use size when the cardinality is large on x or y.,Don't use size encoding if there is a high cardinality on x or y,[28] high_cardinality_size.png
Soft,29,horizontal_scrolling_x,Avoid high cardinality on x as it causes horizontal scrolling.,Avoid high cardinality on x as it causes horizontal scrolling.,[29] horizontal_scrolling_x.png
